input,labels
"Classick - Move along people, nothing to buy here: If you think ""they don't make 'em like they u-sta,"" you're right, no matter if they look like what they u-sta to look like or not. Don't be fooled because this thing reminds you of the iron your grandma had for 37 years. This one will barely last you that many days.Within weeks, I couldn't use the steam function because the resevoir cracked and any water added drained straight to the countertop.The other night, after owning this for short a couple of months, I noticed the status light flickering. Tonight, it just plain stopped working. I got a few more passes over the right leg of my slacks when I unplugged it, dropped it from about shoulder height on the back patio, and plugged it back in. I was treated to about 73 additional seconds of warming before it checked out for iron hell.Spend the extra coin. Get a better iron.
",1
"Our Favorite Book: Are You My Mother? is the perfect beginner reader. The story is easy to follow and keeps the child engaged in reading. The vocabulary is repetitive and yet not boring. My students, my own children and now my grandchildren have all read and enjoyed this book. My granddaughter, Jaylyn, is currently rereading this book over and over again. It is a favorite in my house and a gift I give often. We love this book!!!
",0
"Helped, But Wish They Soothed Longer: I used these back when I was nursing my daughter in 2010, and they really felt good but didn't stay hot or cold very long. They were great cold versus the gel packs because those, in my opinion, are too cold (kind of painfully cold)...but I wish on the hot 'setting' that they would stay hot longer. I think after about 3 minutes they felt room temp again - and you can only microwave them so much at once without burning your skin off or making the seeds inside burst. Overall, I liked them.
",0
"Super Neat-Oh!: This is an awesome product. I have seen other sizes and prints out there as well. I would recommend this to any parent and am thinking about buying one for every kid I know! Great way to store toys and play with them and easy to wash (by hand) as well!
",0
"Words can't describe it!: I bought four of McMurtry,s Lonesome Dove series books (Dead Man Walking, Comanche Moon, Lonesome Dove and, Streets of Laredo) after being delighted by the Lonesome Dove TV series. I always thought that a book was better than its corresponding movie, especially after producers and scriptwriters were finished doctoring things up. I bought this collection on that basis (Lonesome Dove)and was sorely disappointed. I can't imagine that the author received the Pulitzer prize for any of these stories. Each book was a little too raw for me and in each one, McMurtry seemed to be in search of a suitable ending; in short they were too long, inane and disjointed. Have you read any of Tony Hillerman or Zane Grey?
",1
"Just another conspiracy theory to make it more confusing: To be honest, I am rather biased pertaining to this book. He made a few good points, I will definitely admit to that. But Stephen Jones has also slandered the name of someone I know with the bit of tabloid trash he had to throw in to make it more interesting. I know it's only a personal opinion, but such things should never be published about a living person without any basis of fact. It accomplishes nothing but the destruction of another life.
",1
"Just what I wanted: The condition is excellent. The information is well presented and helpful. The only complaint is that since it's not a current publication the visuals are really dated and unattractive.
",0
"Endless Opportunities: A great book for anyone who enjoyed A Brief History of Time, Dancing Wu Li Masters, and Zen and the Art of Motorcycle Maintenance, in spite of not understanding much of any of them. An even better book for those who talk about those books without having read them.A book that makes people think is rare, and a book that gets them to try to think together is a gem. The magical way everyone identifies with Adams's cartoons works in this book to make everyone want to participate in the experiment. This book is like a great meal - one hundred times better if shared with your friends.
",0
"a pretty good gun: I got this gun slightly used, i've killed a few varmits with it its fast and pretty accurate, but the trigger pull is pretty far and stiff.Good all around gun though.
",0
"Don't buy the Kindle Version, get the Paperback!: I purchased the kindle version and it was not worth my money. The problem is that the table of contents breaks down the introduction into sections such as ""author, place of writing, date, etc..."" but then the actually commentary is just one section titled ""commentary"". This means that on a kindle you have no way of navigating 90% of the book. You have to click through the 200 pages of commentary one page at a time until you find the particular scripture you are looking for. Purchase the paperback version so you can easily find what you need!
",1
"A forgotten gem: I hadn't seen this movie in probably 40 years and actually forgot about it until it came up on a recommended list from Amazon. Great movie with a great cast of actors.A must for Alfred Hitchcock fans.
",0
"One of the best french movies made!: I'm learning french so I figured ""Amelie"" would be a great movie to watch to improve my fluency. It did more than that, it also broadened my horizons as a writer. I didn't know anything so unique was possible. This is a masterpiece! Audrey Toutou's heartfelt performance as a lonely young woman proved that we'll be watching more of her in the next many years. Why did ""Amelie"" lose the Oscar for Best Foreign Film over the boring ""No Man's Land""? Nobody knows.
",0
"Warm & Inspiring!: I could not put this book down from when I picked it up! It is an amazing story of Maria's journey to find her natural past. It is an inspiring account of a woman's determination and strength to dig into the unknown, combined with the unfaultering love and support of her family and faith. It not only delights with a happy ending but is proof of what can be achieved with courage and persistance. Loved it!
",0
"good, not great: This album just takes you into a different landscape with each song. ""Remembrace""sounds majestic, ""Dust and Echoes"" is simply stunning. Alot of the music though is aranged alike, they start off slowly with a great crezendo at the end, sort of leaves you feeling like you know whats comimg. "" The End of the Beginning"" CD I think is their best stuff.
",1
"My all time Favorite Movie: I watched this when i was little, and i am so glad to own it on dvd now. This movie is what inspired my lifelong habit of eating as much pizza as i can. When i was little everytime we ordered a pizza i would bring out this movie and stick it in the vcr. My parents, and grandparents never really complained, as the must have seen it hundreds of times already. But it never got old. This movie is everlasting, so what are you waiting for order a pizza and put on the movie. You wont be dissapointed.P.S. Beware people who dont like all those 80's & 90's words (Radical, Dude, Righteous etc..)Watch out because that is how they talk.P.S.S. This movie is also why my favorite color is green. I guess you can say this movie inspired a piece or two of my life. Pizza and green, and whatever else i might not realise.P.S.S.S. I know reviews are suppose to be about the actual thing, but seeing as this is my favorite i cannot say how much i like it without explaining the whole story.
",0
"Don't buy this ""camera""!: Don't waste your money! The difference between the advertisement pictures and the actual output is day and night! By that, I mean it looks like the advertisement pictures were taken in the day and the actual output looks like it was taken at night... with the pixter covered with a thick canvas bag.Do not buy this ""product"" it ruined my daughter's Christmas!!!!!Gary L.
",1
"Is there anything in quant fin they won't milk?: A very poor value for a tedious collection of the most poorly written papers. It it wasn't for Jarrow's name attached to this, they'd never sell a copy.This book is an unreadable doorstop, but don't think you are missing anything, pretty much everything you need to know from here can be told to you in ten minutes from a slightly senior person on any quant or options desk in the world.
",1
"Not just for children...: My husband and I also enjoy this joyful music, direct from the Charlie Brown's Christmas special. Both jazzy instrumental and kid-focused singing numbers keep attention of little ones. Our three boys love this one the best.
",0
"Can't make it past week 2.: My K/1st grader (homeschooled) hates this book, and so do I. Granted, we've not used it for long, but the drudgery is already too much. Tons of writing (we already have a handwriting program), and no memorization of spelling facts make this our only truly tedious chore of the day.
",1
"JOSE ANGEL HEVIA ES UNO DE LOS GAITEROS MAS CREATIVOS: Es de España, Asturias. Este single es un muy moderno y fusiona lo celta con sintetizadores electrónicos. Su gaita multirítmica le permite crear diferentes sonidos que a la par de los coros crean un sonido original, creativo y muy agradable.Este single es una remezcla y por lo tanto si quieres escuchar la pista original tendras que escuchar Tierra de Nadie. Si te gustan los gaiteros españoles te recomiendo a Cristina Pato, Milladoiro, Carlos Núñez o Xosé Manuél Budiño.
",0
"Disappointing: I have had my eye on this litter box for months. After reading so many positive reviews I finally decided to go for it. My cat seems to like it but she isn't really finicky about litter boxes. I don't like it nearly as much as she does, probably because her favorite place to pee is on the little shelf thing on the inside, above the grate. I discovered this when I rolled it to the side and a significant amount of urine dribbled out down the side of the box and onto the floor. I can't get her to stop peeing there so now I have an oddly shaped covered litter box without the extra functionality I paid for. I didn't really like the system to begin with either, but I didn't have a lot of time to perfect my rolling technique before my cat discovered her new favorite pee spot. As excited as I was about this product, I can't really recommend it. I'm glad it works so well for so many other people, but for me it was a waste.
",1
"One of the better Case Files: Case Files can be hit or miss, depending both upon the clerkship for which they are written and the reader's preferred style of learning. Pediatrics is one of the clerkships for which Case Files is more suited. Unlike some others, pediatrics requires both a detailed knowledge of clinical topics, as well as solid memorization of things like vaccination schedules and developmental stages. I found that I relied on Case Files in pediatrics significantly more than in other clerkships because I could flag pages for quick reference or memorization when I had a free moment. Granted, this should not be your sole text for the clerkship and shelf exam, and you should be skeptical of anyone who tells you otherwise, but it's certainly worth picking up and carrying around for those brief moments of down time.
",0
"Lasts for years: We've owned this Little Tikes microwave for so many years and it's still in our family room. My daughter loved it as a toddler all the way up through kindergarten, which was just last year. She was always throwing things in there to cook. Funny some of the things that would end up there.It still looks as new as the day we got it and works just as well. It cooks and then tells the kids, ""Careful, it's hot."" Very cute.The only problem is the door, which can be difficult for very young kids to open. It should have an easy to grasp handle, but it doesn't. The kids have to push the ""open"" button in but grasp the edges and pull at the same time. They eventually get it.
",0
"Spencer Wells's DNA studies dsprove Chinese settlement...: in the new world. In his book The Journey of Man Wells talks about DNA strains of Y-Chromosomes in Native Americans all throughout the Americas. None of them have Chinese Y Chromosomes. Menzies's application about Chinese settlers in the Americas over 500 years ago is wrong. And get a load of the obviously frigged up way he tries to make early 15th century Europe out to be twice as primitive as it really was.
",1
"Excrutiatingly bad vocals...: ... and that says it all. The singers are NOT professional; they bawl, blare and bleat alternately. If you are considering this purchase for the sake of music - don't go for it. You will be undergoing non-stop torture for the duration of the film!
",1
"Haunting and Lovely: The first time I read this book, it entranced me. To put it tritely, ""I could not put it down."" This book is amazingly enchanting, though can seem a bit obtuse. I confess, I had to re-read it before I began to understand the point. You will find yourself discovering new facets of the story each time you read it, which I have done several times. It is a piercingly beautiful story, written with Lewis' clear, sharp talent.
",0
"Great foundational knowledge!: If you are a serious guitarist and want to go beyond being a teenage rock and roller or metalhead, this book is a must.I bought into the myth of just playing chord shapes for years and never even thought about ""chord voicings"" until one day at school, the music director was talking to me about chord voicings. I checked into it and bought this book and never regretted dropping the $15 or whatever it cost.If you really want to be a great musician, be sure to teach yourself properly. This book will help you.
",0
"Unfinished story!: I am fond of Colin Firth but as far as I am concerned this a throw-away video. I certainly don't want to view it again.
",1
"Puerile maunderings of a nearly talentless narcissist: These ""poems"" are so bad, so puerile, so schlocky, so self-indulgent, that it is no wonder that thousands of disturbed teenagers carry them around clutched to their chests. Morrison speaks for the all the disaffected but talentless millions who ever lived. His thoughts are their thoughts; his pointless word-salads apparently strike deep, thrilling chords of banality in the unthinking. Don't read the book; read the other reviews of it posted here, and you will get the full flavor of the Morrison ""mystique.""
",1
"Disappointed: I had high expectations for this book, however I was severely disappointed. The book makes claims at being some sort of archaeologist's study, but it reads like a badly written vacation journal written by an easily impressed child. Finn locks onto the most trivial aspects of Silicon Valley and Internet culture and romanticizes them in a way that only someone who doesn't understand them would.
",1
"american zen: I am not sure that all the people how have read this book are mentaly stable, all I know is that I have sought metal help ever since i read this book.
",1
"Terrible Product: After about a month, it started producing cool-mist that smelled funny, like something bad had rotted in the room. The filters are a nuisance. I think I'm much better off with a steam vaporizer.
",1
"Terrible!!!: I bought this pillow early on in my pregnancy thinking it would be a life saver. It wasn't. The pillow comes in a case that is very rough and as far as I know you can't buy an actual pillow case for it (only replacement cases which I assume are also very rough.) I tried making my own by cutting the end off of a regular pillow case but it would never stay in the same spot. This is not a comfortable pillow to lay your head on. The neck support is terrible. In the end I ended up throwing it away. I'm using a ""pregnancy pillow"" now and love it. You get back and belly support without the neck pain.
",1
"Table Top Exerciser: I had received this table top exerciser several weeks ago, and mustsay, that when it is used as a table top unit, it performs very well, myonly comment would be - that it could be a bit quieter. Other than the littlenoise, I enjoy using this unit, and would recommend it for table top use.
",0
"The Pattern: Many People are frustrated with Jordan's books, for the very reasons I love them. With so many inter-woven plots an image of chaos and confusion is created. Many of you people want an orderly nice step-by-step plot progression, but think realistically, if this were actually happening would it be so easy to control and contain? I think that this series gives a hint of the mad chaos that would occour if this were a true story. The reason that i love this series is that it attempts to become reality.If any of you would like to chat about the book give me a tell on AOL Instant Messenger.Nerio8havoc87@hotmail.com
",0
"Hard to get through: I began reading this book with high expectations, having seen so many great reviews on this site. The story begins well enough, and keeps the interest of the reader, but soon after it seems to become a lifeless excercise in how not to finish a story or keep the reader's attention. After a while, I didn't care what happened. I was bored. I've tried several times to finish the book, as I hate not finishing one after I begin it, but it's just plain hard! If you're looking for something to draw you in the way Mieville or Van derMeer can, I would suggest looking elsewhere.
",1
"Not the best: This is an okay version of Pride and Prejudice, but not the most superior one. It strays from the book quite a bit (I don't recall Darcy jumping in swamps nor even fencing) The acting is bland exept for Julia Sawalha, who is most melodramatic and Jennifer Ehle's smirking gets old quickly. The scenery is beautiful, however and so are the costumes.The 1979 BBC version, with a screenplay by Fay Weldon, is a far superior version. The movie is bang on with the book and the acting is fantastic--the actress portraying Lydia is a little histrionic and melodramatic, but the rest are pure perfection.
",1
"Good ... But ... Needs a Supplement: Spanish Verb Tenses is unquestionably good at presenting and explaining the proper context and sequence of verb tenses. Used only as a reference, this guide may be considered 'self-sufficient'.If your goal is conversational ability and eventual fluency however, you will never reach that goal with Spanish Verb Tenses alone.I have been using Behind the Wheel Spanish 8 CDs and Text to actually learn how to speak the language. The text that comes with Behind the Wheel is surprisingly complete, and even includes large verb sections (complete with illustrations no less) that break down the verbs (conjugation in a way).The method used is non-grammatical so a grammar guide such asSpanish Verb Tenses is ideal for use in conjunction with Behind the Wheel Spanish.I am very satisfied with my progress in Spanish using these twoapproaches.
",0
"far worse than the first, not as bad as the last: gone are the ballet / dance-like fight scenes, replaced with loud explosions and sophomoric dialog -'what do you want?' ""I want the same thing you want - everything."" An abrupt cliff hanger ending, continuity errors, and overly long and frankly dull fight sequences. The characters are more interested in hearing themselves talk than taking action - Morpheus becomes a bore, and Neo becomes Steve Reeves as Superman - only the music is different.You'll want to see this because the first movie was truly an act of genius, but the directors cut of this movie should be about 35 minutes long.
",1
"Great title: But so slow moving ! Growing up catholic and attending convent school I expected more insight and relevancy and absurdity.
",1
"Good Book: This was a good book on Cichlid fish. Not for the Aquarist, for the Biologist. Title is a little misleading, the book is more about behavior than evolution although there is one good chapter of evolution. Of course, the evolutionary implications of the behavioral patterns are there but they are not the main focus of the writing.
",0
"Socks Slide Off Heels!: The only reason I bought these was because they supposedly stay in place. They definitely DO NOT and because they keep falling off my heel and scrunching forward, I can't use them. They were a waste of money.
",1
"Great products/poor selling method: Selling thru Amazon is in direct violation of Arbonne Policies & Procedures and your contract with them could be cancelled. These are very pure, high quality products you would do best to get direct from Arbonne or your Arbonne Rep. to ensure they're new and unused! With less then 1% preservatives, the products have expiration dates. Arbonne International will be contacting the Seller.
",0
"PNY OPTIMA 1GB DDR 400 MHz PC3200 Desktop DIMM Memory Module MD1024SD1-400: Made a big difference. This was a system I was rebuilding. PC is fast as most. I highly recommend. I will definitely buy again.
",0
"Daniel Rodriguez-"" Be My Love"": Those of us who love the voice of ""America's Tenor"" Daniel Rodriguez are thrilled that this new album will now bring his beautiful music to the world. The duet by Dan and Izzy is absolutely breathtaking and spectacular. We loved his first two albums, ""Spirit of America"" and ""From My Heart"", and this compilation album of those great songs, is simply wonderful. Thank you Dan for giving us another special gift. We await your next album, with great anticipation!!
",0
"A string of random nothingness: This was one of the worse books I have ever read. It was a string of unrelated events, far too many uninteresting character s, and no purpose or storyline.
",1
"An Unpleasant Book: I found this book very unpleasant to read. The perspective of the book is naive and uneducated. They make ludicrous comparisons between the trials they face on their chosen path and the life and death suffering of others. They also glorify hunting for the sake of hunting. Instead of empathizing with the authors I felt bad for them and pitied them. I was glad when the book was finished.
",1
"The Relatives Came: Those relatives just hugged for hours and hours. It takes 4 or 5 hugs to get from one room to another.They all slept on the floor. Also, the relatives, fixed all the things that were broken. They ate all the watermelons and strawberries. Then they had to leave. This is a good book for people who like trips.
",0
"I think that this book is very bad. I won't read it again: The book never got me past the 5th page so I can't review it
",1
"Not worth the $0.50 I spent on the used copy: I bought this book after seeing all of the great reviews only to have both of my children ask why they were being punished, as well as if I was playing a prank on them,because what I was reading was so ""stupid"" as they put it. I did get upset with them for saying it was stupid but I could hardly blame them, the poetry, the rhymes and even the premise were better suited as a vessel to collect my dog's feces. I wish I could leave 0 or negative stars. Save your money and buy your children a sponge bob coloring book, the plot will be deeper, trust me.
",1
"JUNK: I have ordered several things from amazon and always pleased by my purchases but when this came in the mail OMG JUNK. I am not pleased with it and don't recommend this to ANYONE. I thought it would be cute to have near our kitchen window so that my kids could see the birds closer then it hanging in a tree but the stupid thing struggles to suction to the window and I had to use tape to help keep it closed up. Don't buy this, buy a tree hanging one instead.
",1
"What a very disappointing product: I'm glad that I didn't spend much on this diffuser for my built-in flash for my D80. This product not only diffused the flash, but also eliminated its effectiveness overall. Rather than getting some sort've soft light effect with this diffuser, I ended up getting underexposed shots (even with the flash strength boosted up to 1.0+). Thanks to the mediocre results I got from this product, I managed to just stick with my SB-400 in conjunction with an omnibounce diffuser. The pictures advertising this product look better than the product that you actually get. What you get is a plasticky/flimsy piece of material with velcro stickers to help attach it to your camera. Very disappointing indeed.
",1
"incomplete: The worst documentry in the WW2 german series.The series of DVDS this belongs to cover in a 5 star rating the U-Boats,Tanks,and Support weapons of WW2 but when it came to doing this DVD the research was just not there nor did one learn much about German bombing missions during ww2 other than bombers were used as extended artillery.Skip this one and look for much better in the series.
",1
"A celebration!: Komeda's ""What Makes It Go?"" is a pleasure. It truly is minty fresh. Space-age cheesey fresh pleasure. The lyrics are beautiful while confusing, and Lena's distinct voice makes the words even more intriguing. The bass lines and drum beats are funky, while the melodies catchy. Every song in ""What Makes It Go?"" contributes to build a spacy world of quirky bliss. Komeda's music is definately worth a few thounsand listens. Maybe more...
",0
"Fresh, innovative and useful approach to seeing San Francisc: As a San Franciscan, this book is the perfect gift and/or inspiration to entertain friends, family or even yourself.The author's approach orients the reader and eliminates the clutter of the average guide book. The book also has a nice balance between indoor and outdoor activities that you will be tempted to do over and over.This is the perfect book for those looking for both the obvious and the obscure in San Francisco.
",0
"Science Fiction for the Hopelessly Mediocre: Master of the bland SciFi, Mr. McDevitt writes a novel representing a juxtaposition to his futuristic without being futuristic Murder She Wrote embarassement called ""Infinity Beach"". Riddled with exotica called Canadians and Germans the best part in Chindi is when the major character, Star Trek wannabe, ""Hutch"" sits down and has a ""Blue Giraffe and a Melted Cheese"" for breakfast. Cheesy indeed.
",1
"Mislead while the calendar ticked off 6o days on Amazon: The Seller told my husband that we must have bought a defective unit and could we please just send back for testing. This took us out of Amazon's loop which was one mistake. Then, the delays to get it back to us just in time to clock out the 60 days when we could use Amazon's buyer protection.Apparently, my husband has now read more reviews to find many customers share the problem we had so that is why I titled ""mislead"".We returned the original item within a few weeks so should have had the new one in plenty of time to discover the problem was ongoing. However, multiple excuses and delays conveniently ticked the clock so we are stuck with this item.So, lesson learned, do not go outside of Amazon ever when buying on this site!
",1
"Star Trek The Next Generation - The Complete Seasons 1-7: This is a review for the collection of the individual silver boxes.After hearing the horror stories stemming from the 20th anniversary collector's edition, I thought it would be best to order this set. The packaging may be bulky, but it as far superior to that of DS9, VGR and ENT (I ordered those off the official site, so they are legit copies. The packaging is as cheaply made as others have noted).The video quality is obviously not 1080p, but I didn't think it looked as dreadful as others have complained. In fact I thought it looked really good upscaled, especially for a TV show shot in the 80's. The effects shots usually dip in resolution as they were not committed to filmstock, but I didn't think they detracted from the experience.Until we see a digital remastering of the transfers, this collection will have to do.
",0
"Doesn't quite live up to ROCKY: The spiritual sequel to ROCKY HORROR PICTURE SHOW, SHOCK TREATMENT by Richard O'Brien doesn't quite live up to the task. The music is good -- not great. The characters are okay -- not great. The setting is good -- not great. If you're interested in seeing where Brad & Janet end up, see this movie.
",0
"Great: well made, looks great....bought a second for backup if anything ever happens to the first one.recommend to all.
",0
"pitfall: This book is a pitfall, just like many others out there. The only reason I gave it one star is because perhaps it might be a good lesson, especially for people who like to think they are better than others, more spiritual and advanced.If you follow the teachings of this book you are going to be stuck with your 'clearing procedures' forever. You will also provide a good feeding ground for all kinds of non-physical entities feeding on your energy and using your physical body for their own agendas.Your ego is the best guidance and protection you are given in this reality, getting rid of it is opening yourself up to invasion.Think well about the whole ascension concept, what really happens to you when you ascend, where do you go?The best way for people to grow and learn is to trust their inner guidance. Go out in the nature, watch what's around you, use your senses and learn. Don't listen to 'big cats' trying to get your attention and distracting you.
",1
"Maybe a Title Malfunction?: Translated-- Traumerei???Plastic Tree has an album called Toroimarai???Thats so similar that I think it was maybe a typo??In this case, if it is that CD, I'd want it, but I don't trust the translation.I wanna see an image and a track list before I'd buy this CD.*heads up* the last track ame ni utaeba is AWESOME!!!anyways, who ever is selling this, can you make sure of what it is???
",1
